id,x,y,label
0,9.764397621154785,-5.693068981170654,x
1,-2.124572277069092,4.331084251403809,a
2,13.121816635131836,-16.375125885009766,x
3,-16.057462692260742,10.740959167480469,e
4,-4.87992525100708,13.32384967803955,u
5,13.349148750305176,9.431295394897461,m
6,8.092411041259766,-22.138370513916016,l
7,17.00588035583496,-6.937467098236084,v
8,-5.865194320678711,5.716459274291992,r
9,-2.9825189113616943,-15.010876655578613,f
10,7.001665115356445,14.863762855529785,w
11,19.135786056518555,-12.635664939880371,k
12,7.575946807861328,-19.98545265197754,l
13,0.07132238149642944,-26.064611434936523,f
14,-4.394124984741211,22.045320510864258,g
15,13.845221519470215,-12.3245210647583,x
16,-9.67699146270752,-17.242536544799805,b
17,7.9713287353515625,-15.839630126953125,b
18,8.062139511108398,8.56275749206543,m
19,-20.869844436645508,13.474215507507324,c
20,-14.991382598876953,0.6254147887229919,b
21,18.175434112548828,-22.673341751098633,z
22,-10.682572364807129,8.789186477661133,o
23,10.195474624633789,18.665355682373047,f
24,10.534910202026367,10.573371887207031,m
25,3.971381664276123,-2.255582809448242,r
26,-14.361528396606445,14.785408020019531,c
27,1.8232097625732422,-24.976177215576172,i
28,-7.118803977966309,2.0393717288970947,c
29,-15.401812553405762,-14.970636367797852,g
30,-4.169477462768555,16.383941650390625,u
31,-17.635961532592773,-13.976800918579102,k
32,-16.733642578125,17.33582878112793,a
33,10.67548656463623,-15.584172248840332,i
34,-9.951668739318848,6.944613933563232,o
35,2.33109450340271,-15.922477722167969,e
36,17.6013240814209,-8.538978576660156,v
37,-16.97003746032715,7.374898433685303,e
38,3.9033138751983643,16.67307472229004,w
39,-9.018518447875977,-17.89423942565918,h
40,-10.74385929107666,5.010507106781006,q
41,-16.26053810119629,-8.152799606323242,j
42,-6.078945159912109,6.997087478637695,e
43,-0.9767692685127258,-1.168837547302246,p
44,-8.680720329284668,13.957663536071777,q
45,10.243999481201172,-23.80586051940918,y
46,-21.6602840423584,1.4969717264175415,s
47,11.834540367126465,8.795196533203125,m
48,-11.092769622802734,-20.957408905029297,f
49,12.98560905456543,-5.485195159912109,v
50,-0.46918100118637085,4.110903263092041,h
51,-21.743284225463867,3.6976559162139893,s
52,-13.387308120727539,-13.790586471557617,q
53,19.82601547241211,-11.739564895629883,k
