label_src,label_tgt,dist
0,0,0.0
0,1,36.88895797729492
0,2,28.447359085083008
0,3,28.33810806274414
0,4,31.885595321655273
0,5,25.78545379638672
0,6,28.6820011138916
0,7,32.00948715209961
0,8,28.61788558959961
0,9,30.8554630279541
1,0,36.88895797729492
1,1,0.0
1,2,29.510692596435547
1,3,28.36840057373047
1,4,27.79131317138672
1,5,28.888734817504883
1,6,29.414182662963867
1,7,27.948123931884766
1,8,26.897621154785156
1,9,27.840797424316406
2,0,28.447359085083008
2,1,29.510692596435547
2,2,0.0
2,3,24.169635772705078
2,4,26.33822250366211
2,5,26.56753921508789
2,6,25.849056243896484
2,7,28.841686248779297
2,8,23.317224502563477
2,9,27.522897720336914
3,0,28.33810806274414
3,1,28.36840057373047
3,2,24.169635772705078
3,3,0.0
3,4,27.671138763427734
3,5,20.114055633544922
3,6,28.391996383666992
3,7,27.630840301513672
3,8,22.118940353393555
3,9,26.445802688598633
4,0,31.885595321655273
4,1,27.79131317138672
4,2,26.33822250366211
4,3,27.671138763427734
4,4,0.0
4,5,25.336246490478516
4,6,25.34838104248047
4,7,21.835636138916016
4,8,24.330211639404297
4,9,17.038707733154297
5,0,25.78545379638672
5,1,28.888734817504883
5,2,26.56753921508789
5,3,20.114055633544922
5,4,25.336246490478516
5,5,0.0
5,6,25.71963119506836
5,7,26.81593132019043
5,8,20.53603172302246
5,9,23.93682861328125
6,0,28.6820011138916
6,1,29.414182662963867
6,2,25.849056243896484
6,3,28.391996383666992
6,4,25.34838104248047
6,5,25.71963119506836
6,6,0.0
6,7,30.555339813232422
6,8,26.364004135131836
6,9,27.040014266967773
7,0,32.00948715209961
7,1,27.948123931884766
7,2,28.841686248779297
7,3,27.630840301513672
7,4,21.835636138916016
7,5,26.81593132019043
7,6,30.555339813232422
7,7,0.0
7,8,26.462547302246094
7,9,17.965238571166992
8,0,28.61788558959961
8,1,26.897621154785156
8,2,23.317224502563477
8,3,22.118940353393555
8,4,24.330211639404297
8,5,20.53603172302246
8,6,26.364004135131836
8,7,26.462547302246094
8,8,0.0
8,9,23.2778263092041
9,0,30.8554630279541
9,1,27.840797424316406
9,2,27.522897720336914
9,3,26.445802688598633
9,4,17.038707733154297
9,5,23.93682861328125
9,6,27.040014266967773
9,7,17.965238571166992
9,8,23.2778263092041
9,9,0.0
