label_src,label_tgt,dist
0,0,0.0
0,1,33.68751907348633
0,2,27.399377822875977
0,3,26.117477416992188
0,4,29.75783920288086
0,5,24.62913703918457
0,6,26.695932388305664
0,7,30.293188095092773
0,8,27.227672576904297
0,9,29.504005432128906
1,0,33.68751907348633
1,1,0.0
1,2,26.604740142822266
1,3,26.408931732177734
1,4,25.960952758789062
1,5,26.29092025756836
1,6,27.50934600830078
1,7,25.379186630249023
1,8,24.620479583740234
1,9,25.613252639770508
2,0,27.399377822875977
2,1,26.604740142822266
2,2,0.0
2,3,22.442745208740234
2,4,25.18001365661621
2,5,25.370960235595703
2,6,24.342241287231445
2,7,26.5714054107666
2,8,22.9985408782959
2,9,26.047271728515625
3,0,26.117477416992188
3,1,26.408931732177734
3,2,22.442745208740234
3,3,0.0
3,4,25.98473358154297
3,5,19.67188835144043
3,6,26.44260597229004
3,7,26.145835876464844
3,8,21.021146774291992
3,9,24.958572387695312
4,0,29.75783920288086
4,1,25.960952758789062
4,2,25.18001365661621
4,3,25.98473358154297
4,4,0.0
4,5,23.787887573242188
4,6,24.38909912109375
4,7,21.006303787231445
4,8,22.6746768951416
4,9,16.86735725402832
5,0,24.62913703918457
5,1,26.29092025756836
5,2,25.370960235595703
5,3,19.67188835144043
5,4,23.787887573242188
5,5,0.0
5,6,24.458904266357422
5,7,24.823732376098633
5,8,20.572612762451172
5,9,22.652685165405273
6,0,26.695932388305664
6,1,27.50934600830078
6,2,24.342241287231445
6,3,26.44260597229004
6,4,24.38909912109375
6,5,24.458904266357422
6,6,0.0
6,7,28.665681838989258
6,8,25.018999099731445
6,9,25.828596115112305
7,0,30.293188095092773
7,1,25.379186630249023
7,2,26.5714054107666
7,3,26.145835876464844
7,4,21.006303787231445
7,5,24.823732376098633
7,6,28.665681838989258
7,7,0.0
7,8,24.441259384155273
7,9,17.883710861206055
8,0,27.227672576904297
8,1,24.620479583740234
8,2,22.9985408782959
8,3,21.021146774291992
8,4,22.6746768951416
8,5,20.572612762451172
8,6,25.018999099731445
8,7,24.441259384155273
8,8,0.0
8,9,21.90352439880371
9,0,29.504005432128906
9,1,25.613252639770508
9,2,26.047271728515625
9,3,24.958572387695312
9,4,16.86735725402832
9,5,22.652685165405273
9,6,25.828596115112305
9,7,17.883710861206055
9,8,21.90352439880371
9,9,0.0
