da,db,epsilon,dist
MNIST,EMNIST,0.0001,1084.279296875
MNIST,EMNIST,0.05,1084.289306640625
MNIST,FashionMNIST,0.0001,1752.3348388671875
MNIST,FashionMNIST,0.05,1752.3468017578125
MNIST,KMNIST,0.0001,1450.657470703125
MNIST,KMNIST,0.05,1450.6661376953125
MNIST,USPS,0.0001,1277.722412109375
MNIST,USPS,0.05,1277.727783203125
EMNIST,FashionMNIST,0.0001,1585.167236328125
EMNIST,FashionMNIST,0.05,1585.18115234375
EMNIST,KMNIST,0.0001,1351.766357421875
EMNIST,KMNIST,0.05,1351.776123046875
EMNIST,USPS,0.0001,1338.5230712890625
EMNIST,USPS,0.05,1338.535888671875
FashionMNIST,KMNIST,0.0001,1700.150390625
FashionMNIST,KMNIST,0.05,1700.15966796875
FashionMNIST,USPS,0.0001,1109.9296875
FashionMNIST,USPS,0.05,1109.942138671875
KMNIST,USPS,0.0001,1318.0029296875
KMNIST,USPS,0.05,1318.01318359375
